,Title
0,Stop Buying Bulk Just for the ‘Lower’ Price
1,When Should You Make Your Kid an Authorized User on Your Credit Card?
2,"DeFiance: billion-dollar finance, million-dollar hacks, and very little value"
3,Ordway lands $10M Series A to bridge gap between sales and finance
4,Customize Your Mac Screenshots With These Hotkeys
5,Opera and the firm short-selling its stock (alleging Africa fintech abuses) weigh in
6,Los Angeles-based ‘deep tech’ investment firm Riot Ventures is raising a $75M fund
7,Unicorn fever as One Medical’s IPO pops 40% after conservative pricing
8,Tesla closes Shanghai factory over coronavirus concerns
9,Pax Labs names a new CEO
10,Jeff Bezos announced a $10 billion fund to fight climate change on Instagram
11,Jeff Bezos announced a $10 billion fund to fight climate change
12,Brexit could mean £5 billion tax loss from finance: academic
13,Verizon is launching a credit card - CNET
14,DC Comics has its own super hero-themed credit cards - CNET
15,"Negotiatus, looking to help businesses optimize purchasing, raises $10 million"
16,Puerto Rico's government lost $2.6 million to a phishing scam
17,Does Beyoncé Know That She's Trying To Help You Raise Your Credit Score?
18,Finance internship
19,"U.S. Evacuates Infected Citizens; Deaths Hit 1,775: Virus Update - Yahoo Canada Finance"
20,China allots nearly $9 billion to contain spread of virus
21,China to exempt taxes for imports of products related to virus control
22,How Fintech Innovations are Eroding Banking's Dominance
23,Web traffic increases in 2019 were driven by mobile; top 100 sites saw average of 223B monthly visits
24,Euro zone to cautiously pave the way for more fiscal stimulus
25,"Barrick beats forecasts, hikes dividend by 40% as gold prices soar - MINING.com"
26,Oil jumps to highest in more than a week after Libyan shutdowns - Investing.com
27,Barrick Gold 4Q earnings top estimates; dividend hiked - Kitco NEWS
28,China Vows More Fiscal Support as Virus Roils Economy - Bloomberg Markets and Finance
29,10 courses to help improve your business skills for less than $35 each
30,Norway’s Weakened PM Makes Top Lieutenant Finance Minister
31,DBS and Standard Chartered make strides to overhaul their trade finances operations
32,"Puerto Rico, A Territory in Recession, Falls Prey to a More Than $4 Million Online Scam"
33,Nutanix execs discuss how they built their 2016 IPO roadshow deck
34,These specialized Africa VC funds are welcoming co-investors
35,A conversation with ‘the most ambitious female VC in Europe’
36,Facebook warns of hit to Oculus production from cornonavirus - Yahoo Finance
37,How Powell will answer questions about coronavirus today: Morning Brief - Yahoo Finance
38,"Airbus hits record highs, 737 MAX buyers fall on latest Boeing news - Yahoo Canada Finance"
39,Here's how the coronavirus stacks up against other deadly diseases - Yahoo Finance
